40 6240 1986 0.003 0.002
50 11025 4552 0.008 0.004
60 15930 8696 0.023 0.018
70 21735 6288 0.026 0.01
80 28440 12233 0.06 0.034
90 36045 19673 0.136 0.16
100 44550 12045 0.355 0.037
110 53955 68820 0.148 0.393
120 64260 12572 0.257 0.048
130 75465 40335 0.169 0.105
140 87570 47099 0.157 0.115
150 100575 24249 0.198 0.114
160 127200 42918 0.267 0.148
170 129285 51820 0.3 0.234
180 161100 63509 0.35 0.277
190 161595 32674 0.535 0.312
200 199000 60150 0.784 0.654
210 197505 109949 0.793 1.062
220 240900 46481 1.2 0.233
230 263350 70005 0.889 0.387
240 286800 106775 0.858 0.507
250 311250 42108 1.019 0.222
260 336700 88175 1.205 0.774
270 363150 88080 1.37 0.714
280 390600 177411 1.655 1.578
290 419050 87482 1.593 0.527
300 448500 51493 2.183 0.295
