Number of steps     = 311
Calculated mass     = 125.972167
Calculated gamma    = 2.086668
Caluculated A       = 9.877866
D-func minimized to = 0.946388


 101 -0.25 2 0.0158122346019724
 103 -0.3 2 0.018679459050982
 105 -0.15 1.9 0.0224028363385438
 107 -1.71 1.9 0.0273601099001261
 109 0.81 1.9 0.0341625635072393
 111 0.65 1.9 0.0438520582334315
 113 -0.91 1.9 0.0583227192124287
 115 0.91 1.9 0.081314704595214
 117 0.96 1.6 0.121069597402009
 119 -2.52 1.6 0.19875117881138
 121 -1.01 1.6 0.382699977330542
 123 2.01 1.6 0.995519440524074
 125 4.83 1.6 4.8571983915077
 127 4.58 1.6 4.60509513622062
 129 1.26 1.3 0.963100659230801
 131 1.01 1.3 0.374620669039113
 133 -1.26 1.3 0.195682762183021
 135 0.45 1.3 0.119600787300928
 137 0.15 1.3 0.0805031298139413
 139 -0.91 1.3 0.0578285480379637
 141 -0.81 1.1 0.0435293445552142
 143 -1.41 1.1 0.0339404012140388
 145 1.36 1.1 0.0272007400504959
 147 0.5 1.1 0.0222846730492192
 149 -0.45 1.1 0.0185894445354455
 151 1.61 1.1 0.0157420971715155
 153 -2.21 1.1 0.0135018730609962
 155 -1.86 0.9 0.0117077442695108
 157 1.76 0.9 0.0102487165354788
 159 -0.5 0.9 0.00904627573409897
